day,asset_name,nominal_price,net_weight,unit_type,platform_source,note
# -----------------------------------------------------------------------------
# TSSI source-of-truth observations file.
#
# This CSV is the ONLY data input to the static build. Every row produces
# one PPU observation on its ``day``; the build pipeline computes the
# composite index, source-mix panel, and JSON API artefacts from this
# file alone — no database required.
#
# Weekly update workflow
# ----------------------
# 1. Append one row per asset for today's date (Bangkok calendar).
# 2. `git commit -am "data: YYYY-MM-DD observations" && git push`.
# 3. GitHub Actions rebuilds dist/ and redeploys to Cloudflare Pages.
#
# Columns
#   day               Bangkok-local date (YYYY-MM-DD).
#   asset_name        One of: mahboonkrong_rice_5kg | mama_tomyum_pack |
#                     ezygo_kaphrao_box | crystal_water_600ml | m150_bottle.
#   nominal_price     Retail THB, ≥ 0 (2 decimals is fine).
#   net_weight        Canonical units: g for solids, ml for M-150.
#   unit_type         "g" or "ml".
#   platform_source   Namespaced provenance string. Convention:
#                         lazada | shopee | 7eleven       -> scrape bucket
#                         wayback:<platform>              -> archive bucket
#                         seed:manual | seed:receipt | …  -> seed bucket
#                         derived:bot_cpi                 -> derived bucket
#                     The "Source mix" panel bucketises by prefix (see
#                     app/backfill/base.py::classify_platform_source).
#   note              Free-form provenance note (optional, no commas).
#
# Rows whose ``day`` cell starts with "#" are treated as comments and
# skipped by the build — you can use them to annotate history inline.
# -----------------------------------------------------------------------------
2020-01-15,mama_tomyum_pack,6,55,g,seed:estimate,
2020-07-15,mama_tomyum_pack,6,55,g,seed:estimate,
2021-07-15,mama_tomyum_pack,6,55,g,seed:estimate,
2022-01-15,mama_tomyum_pack,6,55,g,seed:estimate,
2022-07-15,mama_tomyum_pack,6.5,55,g,seed:estimate,
2023-07-15,mama_tomyum_pack,7,55,g,seed:estimate,
2024-07-15,mama_tomyum_pack,7,55,g,seed:estimate,
2025-07-15,mama_tomyum_pack,7,55,g,seed:estimate,
2020-01-15,m150_bottle,10,150,ml,seed:estimate,
2020-07-15,m150_bottle,10,150,ml,seed:estimate,
2021-07-15,m150_bottle,10,150,ml,seed:estimate,
2022-07-15,m150_bottle,10,150,ml,seed:estimate,
2023-07-15,m150_bottle,12,150,ml,seed:estimate,
2024-07-15,m150_bottle,12,150,ml,seed:estimate,
2025-07-15,m150_bottle,12,150,ml,seed:estimate,
2020-07-15,ezygo_kaphrao_box,55,200,g,seed:estimate,
2021-07-15,ezygo_kaphrao_box,55,200,g,seed:estimate,
2022-07-15,ezygo_kaphrao_box,59,200,g,seed:estimate,
2023-07-15,ezygo_kaphrao_box,65,200,g,seed:estimate,
2024-07-15,ezygo_kaphrao_box,69,200,g,seed:estimate,
2025-07-15,ezygo_kaphrao_box,75,200,g,seed:estimate,
2026-01-15,ezygo_kaphrao_box,79,200,g,seed:estimate,
2020-02-15,mama_tomyum_pack,0.109,1,g,derived:bot_cpi,
2020-03-15,mama_tomyum_pack,0.1092,1,g,derived:bot_cpi,
2020-04-15,mama_tomyum_pack,0.11,1,g,derived:bot_cpi,
2020-05-15,mama_tomyum_pack,0.1104,1,g,derived:bot_cpi,
2020-06-15,mama_tomyum_pack,0.1106,1,g,derived:bot_cpi,
2020-08-15,mama_tomyum_pack,0.1092,1,g,derived:bot_cpi,
2020-09-15,mama_tomyum_pack,0.1093,1,g,derived:bot_cpi,
2020-10-15,mama_tomyum_pack,0.1095,1,g,derived:bot_cpi,
2020-11-15,mama_tomyum_pack,0.1097,1,g,derived:bot_cpi,
2020-12-15,mama_tomyum_pack,0.1099,1,g,derived:bot_cpi,
2021-01-15,mama_tomyum_pack,0.1078,1,g,derived:bot_cpi,
2021-02-15,mama_tomyum_pack,0.1075,1,g,derived:bot_cpi,
2021-03-15,mama_tomyum_pack,0.1074,1,g,derived:bot_cpi,
2021-04-15,mama_tomyum_pack,0.1076,1,g,derived:bot_cpi,
2021-05-15,mama_tomyum_pack,0.1078,1,g,derived:bot_cpi,
2021-06-15,mama_tomyum_pack,0.108,1,g,derived:bot_cpi,
2021-08-15,mama_tomyum_pack,0.1092,1,g,derived:bot_cpi,
2021-09-15,mama_tomyum_pack,0.1093,1,g,derived:bot_cpi,
2021-10-15,mama_tomyum_pack,0.1095,1,g,derived:bot_cpi,
2021-11-15,mama_tomyum_pack,0.11,1,g,derived:bot_cpi,
2021-12-15,mama_tomyum_pack,0.1104,1,g,derived:bot_cpi,
2022-02-15,mama_tomyum_pack,0.1097,1,g,derived:bot_cpi,
2022-03-15,mama_tomyum_pack,0.1106,1,g,derived:bot_cpi,
2022-04-15,mama_tomyum_pack,0.1117,1,g,derived:bot_cpi,
2022-05-15,mama_tomyum_pack,0.1128,1,g,derived:bot_cpi,
2022-06-15,mama_tomyum_pack,0.1137,1,g,derived:bot_cpi,
2022-08-15,mama_tomyum_pack,0.1187,1,g,derived:bot_cpi,
2022-09-15,mama_tomyum_pack,0.1192,1,g,derived:bot_cpi,
2022-10-15,mama_tomyum_pack,0.1194,1,g,derived:bot_cpi,
2022-11-15,mama_tomyum_pack,0.1196,1,g,derived:bot_cpi,
2022-12-15,mama_tomyum_pack,0.1198,1,g,derived:bot_cpi,
2023-01-15,mama_tomyum_pack,0.1206,1,g,derived:bot_cpi,
2023-02-15,mama_tomyum_pack,0.1214,1,g,derived:bot_cpi,
2023-03-15,mama_tomyum_pack,0.1219,1,g,derived:bot_cpi,
2023-04-15,mama_tomyum_pack,0.1224,1,g,derived:bot_cpi,
2023-05-15,mama_tomyum_pack,0.1229,1,g,derived:bot_cpi,
2023-06-15,mama_tomyum_pack,0.1231,1,g,derived:bot_cpi,
2023-08-15,mama_tomyum_pack,0.1274,1,g,derived:bot_cpi,
2023-09-15,mama_tomyum_pack,0.1275,1,g,derived:bot_cpi,
2023-10-15,mama_tomyum_pack,0.1276,1,g,derived:bot_cpi,
2023-11-15,mama_tomyum_pack,0.1277,1,g,derived:bot_cpi,
2023-12-15,mama_tomyum_pack,0.1278,1,g,derived:bot_cpi,
2024-01-15,mama_tomyum_pack,0.1282,1,g,derived:bot_cpi,
2024-02-15,mama_tomyum_pack,0.1283,1,g,derived:bot_cpi,
2024-03-15,mama_tomyum_pack,0.1285,1,g,derived:bot_cpi,
2024-04-15,mama_tomyum_pack,0.1286,1,g,derived:bot_cpi,
2024-05-15,mama_tomyum_pack,0.1287,1,g,derived:bot_cpi,
2024-06-15,mama_tomyum_pack,0.1289,1,g,derived:bot_cpi,
2024-08-15,mama_tomyum_pack,0.1274,1,g,derived:bot_cpi,
2024-09-15,mama_tomyum_pack,0.1275,1,g,derived:bot_cpi,
2024-10-15,mama_tomyum_pack,0.1276,1,g,derived:bot_cpi,
2024-11-15,mama_tomyum_pack,0.1277,1,g,derived:bot_cpi,
2024-12-15,mama_tomyum_pack,0.1279,1,g,derived:bot_cpi,
2025-01-15,mama_tomyum_pack,0.1282,1,g,derived:bot_cpi,
2025-02-15,mama_tomyum_pack,0.1283,1,g,derived:bot_cpi,
2025-03-15,mama_tomyum_pack,0.1284,1,g,derived:bot_cpi,
2025-04-15,mama_tomyum_pack,0.1285,1,g,derived:bot_cpi,
2025-05-15,mama_tomyum_pack,0.1286,1,g,derived:bot_cpi,
2025-06-15,mama_tomyum_pack,0.1287,1,g,derived:bot_cpi,
2025-08-15,mama_tomyum_pack,0.1274,1,g,derived:bot_cpi,
2025-09-15,mama_tomyum_pack,0.1275,1,g,derived:bot_cpi,
2025-10-15,mama_tomyum_pack,0.1276,1,g,derived:bot_cpi,
2025-11-15,mama_tomyum_pack,0.1277,1,g,derived:bot_cpi,
2025-12-15,mama_tomyum_pack,0.1279,1,g,derived:bot_cpi,
2026-01-15,mama_tomyum_pack,0.1282,1,g,derived:bot_cpi,
2026-02-15,mama_tomyum_pack,0.1283,1,g,derived:bot_cpi,
2026-03-15,mama_tomyum_pack,0.1284,1,g,derived:bot_cpi,
2026-04-15,mama_tomyum_pack,0.1286,1,g,derived:bot_cpi,
2020-02-15,m150_bottle,0.0666,1,ml,derived:bot_cpi,
2020-03-15,m150_bottle,0.0667,1,ml,derived:bot_cpi,
2020-04-15,m150_bottle,0.0672,1,ml,derived:bot_cpi,
2020-05-15,m150_bottle,0.0675,1,ml,derived:bot_cpi,
2020-06-15,m150_bottle,0.0676,1,ml,derived:bot_cpi,
2020-08-15,m150_bottle,0.0667,1,ml,derived:bot_cpi,
2020-09-15,m150_bottle,0.0668,1,ml,derived:bot_cpi,
2020-10-15,m150_bottle,0.0669,1,ml,derived:bot_cpi,
2020-11-15,m150_bottle,0.0671,1,ml,derived:bot_cpi,
2020-12-15,m150_bottle,0.0672,1,ml,derived:bot_cpi,
2021-01-15,m150_bottle,0.0659,1,ml,derived:bot_cpi,
2021-02-15,m150_bottle,0.0657,1,ml,derived:bot_cpi,
2021-03-15,m150_bottle,0.0656,1,ml,derived:bot_cpi,
2021-04-15,m150_bottle,0.0657,1,ml,derived:bot_cpi,
2021-05-15,m150_bottle,0.0659,1,ml,derived:bot_cpi,
2021-06-15,m150_bottle,0.066,1,ml,derived:bot_cpi,
2021-08-15,m150_bottle,0.0667,1,ml,derived:bot_cpi,
2021-09-15,m150_bottle,0.0668,1,ml,derived:bot_cpi,
2021-10-15,m150_bottle,0.0669,1,ml,derived:bot_cpi,
2021-11-15,m150_bottle,0.0672,1,ml,derived:bot_cpi,
2021-12-15,m150_bottle,0.0675,1,ml,derived:bot_cpi,
2022-01-15,m150_bottle,0.0679,1,ml,derived:bot_cpi,
2022-02-15,m150_bottle,0.0683,1,ml,derived:bot_cpi,
2022-03-15,m150_bottle,0.0688,1,ml,derived:bot_cpi,
2022-04-15,m150_bottle,0.0696,1,ml,derived:bot_cpi,
2022-05-15,m150_bottle,0.0702,1,ml,derived:bot_cpi,
2022-06-15,m150_bottle,0.0708,1,ml,derived:bot_cpi,
2022-08-15,m150_bottle,0.067,1,ml,derived:bot_cpi,
2022-09-15,m150_bottle,0.0672,1,ml,derived:bot_cpi,
2022-10-15,m150_bottle,0.0673,1,ml,derived:bot_cpi,
2022-11-15,m150_bottle,0.0675,1,ml,derived:bot_cpi,
2022-12-15,m150_bottle,0.0676,1,ml,derived:bot_cpi,
2023-01-15,m150_bottle,0.068,1,ml,derived:bot_cpi,
2023-02-15,m150_bottle,0.0685,1,ml,derived:bot_cpi,
2023-03-15,m150_bottle,0.0688,1,ml,derived:bot_cpi,
2023-04-15,m150_bottle,0.0691,1,ml,derived:bot_cpi,
2023-05-15,m150_bottle,0.0693,1,ml,derived:bot_cpi,
2023-06-15,m150_bottle,0.0694,1,ml,derived:bot_cpi,
2023-08-15,m150_bottle,0.0801,1,ml,derived:bot_cpi,
2023-09-15,m150_bottle,0.0801,1,ml,derived:bot_cpi,
2023-10-15,m150_bottle,0.0802,1,ml,derived:bot_cpi,
2023-11-15,m150_bottle,0.0803,1,ml,derived:bot_cpi,
2023-12-15,m150_bottle,0.0804,1,ml,derived:bot_cpi,
2024-01-15,m150_bottle,0.0806,1,ml,derived:bot_cpi,
2024-02-15,m150_bottle,0.0806,1,ml,derived:bot_cpi,
2024-03-15,m150_bottle,0.0808,1,ml,derived:bot_cpi,
2024-04-15,m150_bottle,0.0809,1,ml,derived:bot_cpi,
2024-05-15,m150_bottle,0.0809,1,ml,derived:bot_cpi,
2024-06-15,m150_bottle,0.081,1,ml,derived:bot_cpi,
2024-08-15,m150_bottle,0.0801,1,ml,derived:bot_cpi,
2024-09-15,m150_bottle,0.0801,1,ml,derived:bot_cpi,
2024-10-15,m150_bottle,0.0802,1,ml,derived:bot_cpi,
2024-11-15,m150_bottle,0.0803,1,ml,derived:bot_cpi,
2024-12-15,m150_bottle,0.0804,1,ml,derived:bot_cpi,
2025-01-15,m150_bottle,0.0806,1,ml,derived:bot_cpi,
2025-02-15,m150_bottle,0.0806,1,ml,derived:bot_cpi,
2025-03-15,m150_bottle,0.0807,1,ml,derived:bot_cpi,
2025-04-15,m150_bottle,0.0808,1,ml,derived:bot_cpi,
2025-05-15,m150_bottle,0.0808,1,ml,derived:bot_cpi,
2025-06-15,m150_bottle,0.0809,1,ml,derived:bot_cpi,
2025-08-15,m150_bottle,0.0801,1,ml,derived:bot_cpi,
2025-09-15,m150_bottle,0.0801,1,ml,derived:bot_cpi,
2025-10-15,m150_bottle,0.0802,1,ml,derived:bot_cpi,
2025-11-15,m150_bottle,0.0803,1,ml,derived:bot_cpi,
2025-12-15,m150_bottle,0.0804,1,ml,derived:bot_cpi,
2026-01-15,m150_bottle,0.0806,1,ml,derived:bot_cpi,
2026-02-15,m150_bottle,0.0806,1,ml,derived:bot_cpi,
2026-03-15,m150_bottle,0.0807,1,ml,derived:bot_cpi,
2026-04-15,m150_bottle,0.0808,1,ml,derived:bot_cpi,
2020-01-15,ezygo_kaphrao_box,0.2709,1,g,derived:bot_cpi,
2020-02-15,ezygo_kaphrao_box,0.2707,1,g,derived:bot_cpi,
2020-03-15,ezygo_kaphrao_box,0.2712,1,g,derived:bot_cpi,
2020-04-15,ezygo_kaphrao_box,0.2731,1,g,derived:bot_cpi,
2020-05-15,ezygo_kaphrao_box,0.2742,1,g,derived:bot_cpi,
2020-06-15,ezygo_kaphrao_box,0.2747,1,g,derived:bot_cpi,
2020-08-15,ezygo_kaphrao_box,0.2753,1,g,derived:bot_cpi,
2020-09-15,ezygo_kaphrao_box,0.2755,1,g,derived:bot_cpi,
2020-10-15,ezygo_kaphrao_box,0.2761,1,g,derived:bot_cpi,
2020-11-15,ezygo_kaphrao_box,0.2766,1,g,derived:bot_cpi,
2020-12-15,ezygo_kaphrao_box,0.2772,1,g,derived:bot_cpi,
2021-01-15,ezygo_kaphrao_box,0.2718,1,g,derived:bot_cpi,
2021-02-15,ezygo_kaphrao_box,0.2709,1,g,derived:bot_cpi,
2021-03-15,ezygo_kaphrao_box,0.2707,1,g,derived:bot_cpi,
2021-04-15,ezygo_kaphrao_box,0.2712,1,g,derived:bot_cpi,
2021-05-15,ezygo_kaphrao_box,0.2718,1,g,derived:bot_cpi,
2021-06-15,ezygo_kaphrao_box,0.2723,1,g,derived:bot_cpi,
2021-08-15,ezygo_kaphrao_box,0.2753,1,g,derived:bot_cpi,
2021-09-15,ezygo_kaphrao_box,0.2755,1,g,derived:bot_cpi,
2021-10-15,ezygo_kaphrao_box,0.2761,1,g,derived:bot_cpi,
2021-11-15,ezygo_kaphrao_box,0.2772,1,g,derived:bot_cpi,
2021-12-15,ezygo_kaphrao_box,0.2783,1,g,derived:bot_cpi,
2022-01-15,ezygo_kaphrao_box,0.2802,1,g,derived:bot_cpi,
2022-02-15,ezygo_kaphrao_box,0.2818,1,g,derived:bot_cpi,
2022-03-15,ezygo_kaphrao_box,0.284,1,g,derived:bot_cpi,
2022-04-15,ezygo_kaphrao_box,0.287,1,g,derived:bot_cpi,
2022-05-15,ezygo_kaphrao_box,0.2897,1,g,derived:bot_cpi,
2022-06-15,ezygo_kaphrao_box,0.2919,1,g,derived:bot_cpi,
2022-08-15,ezygo_kaphrao_box,0.2964,1,g,derived:bot_cpi,
2022-09-15,ezygo_kaphrao_box,0.2975,1,g,derived:bot_cpi,
2022-10-15,ezygo_kaphrao_box,0.298,1,g,derived:bot_cpi,
2022-11-15,ezygo_kaphrao_box,0.2986,1,g,derived:bot_cpi,
2022-12-15,ezygo_kaphrao_box,0.2991,1,g,derived:bot_cpi,
2023-01-15,ezygo_kaphrao_box,0.301,1,g,derived:bot_cpi,
2023-02-15,ezygo_kaphrao_box,0.3029,1,g,derived:bot_cpi,
2023-03-15,ezygo_kaphrao_box,0.3043,1,g,derived:bot_cpi,
2023-04-15,ezygo_kaphrao_box,0.3057,1,g,derived:bot_cpi,
2023-05-15,ezygo_kaphrao_box,0.3067,1,g,derived:bot_cpi,
2023-06-15,ezygo_kaphrao_box,0.3073,1,g,derived:bot_cpi,
2023-08-15,ezygo_kaphrao_box,0.3253,1,g,derived:bot_cpi,
2023-09-15,ezygo_kaphrao_box,0.3256,1,g,derived:bot_cpi,
2023-10-15,ezygo_kaphrao_box,0.3259,1,g,derived:bot_cpi,
2023-11-15,ezygo_kaphrao_box,0.3262,1,g,derived:bot_cpi,
2023-12-15,ezygo_kaphrao_box,0.3264,1,g,derived:bot_cpi,
2024-01-15,ezygo_kaphrao_box,0.3273,1,g,derived:bot_cpi,
2024-02-15,ezygo_kaphrao_box,0.3276,1,g,derived:bot_cpi,
2024-03-15,ezygo_kaphrao_box,0.3282,1,g,derived:bot_cpi,
2024-04-15,ezygo_kaphrao_box,0.3285,1,g,derived:bot_cpi,
2024-05-15,ezygo_kaphrao_box,0.3288,1,g,derived:bot_cpi,
2024-06-15,ezygo_kaphrao_box,0.329,1,g,derived:bot_cpi,
2024-08-15,ezygo_kaphrao_box,0.3453,1,g,derived:bot_cpi,
2024-09-15,ezygo_kaphrao_box,0.3456,1,g,derived:bot_cpi,
2024-10-15,ezygo_kaphrao_box,0.3459,1,g,derived:bot_cpi,
2024-11-15,ezygo_kaphrao_box,0.3462,1,g,derived:bot_cpi,
2024-12-15,ezygo_kaphrao_box,0.3468,1,g,derived:bot_cpi,
